  Day,Susceptible_DC,Incubating_DC,Infected_DC,Colonized_DC,Recovered_DC,Dead_DC,Hospitalized_DC,NewAdmissions_DC,EDVisits_DC,ICU_DC,Tests_DC,Quarantined_DC,numHousholdQuarantined_DC,InfectiousEventsPrevented_DC,confirmedcases_DC,Susceptible_VA,Incubating_VA,Infected_VA,Colonized_VA,Recovered_VA,Dead_VA,Hospitalized_VA,NewAdmissions_VA,EDVisits_VA,ICU_VA,Tests_VA,Quarantined_VA,numHousholdQuarantined_VA,InfectiousEventsPrevented_VA,confirmedcases_VA,Susceptible_MD,Incubating_MD,Infected_MD,Colonized_MD,Recovered_MD,Dead_MD,Hospitalized_MD,NewAdmissions_MD,EDVisits_MD,ICU_MD,Tests_MD,Quarantined_MD,numHousholdQuarantined_MD,InfectiousEventsPrevented_MD,confirmedcases_MD,Susceptible,Incubating,Infected,Colonized,Recovered, Dead,Hospitalized,NewAdmissions,EDVisits,  ICU,Tests,Quarantined,numHousholdQuarantined,InfectiousEventsPrevented,confirmedcases
    1,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511753,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116202,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315541,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    2,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511753,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116198,    3,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315537,    6,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    3,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511750,    4,    1,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116191,    9,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315527,   13,    1,    4,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    4,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511746,    7,    1,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116183,   10,    0,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315515,   17,    1,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    5,687586,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511738,   10,    1,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116171,   16,    0,   14,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315495,   26,    1,   22,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    6,687585,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511725,   19,    1,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116164,   16,    2,   19,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315474,   36,    3,   31,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    7,687583,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511716,   18,    2,   21,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116147,   25,    3,   25,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315446,   45,    5,   47,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    8,687583,    2,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511705,   20,    2,   28,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116127,   36,    4,   32,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315415,   58,    6,   61,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
    9,687579,    5,    0,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511698,   19,    3,   32,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116104,   41,    5,   45,    7,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315381,   65,    8,   79,   12,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   10,687574,    9,    0,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511680,   23,    2,   43,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6116065,   59,   10,   59,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315319,   91,   12,  105,   18,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0
   11,687572,    6,    0,    8,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511661,   32,    2,   48,   14,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,6116021,   80,   12,   73,   16,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315254,  118,   14,  129,   30,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0
   12,687567,   10,    0,    9,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511633,   49,    4,   49,   22,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,6115985,   71,   16,  103,   27,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,9315185,  130,   20,  161,   49,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0
   13,687556,   14,    1,   14,    1,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511598,   54,    4,   70,   31,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,6115916,  111,   19,  113,   43,    0,    1,    1,    0,    1,    0,    0,    0,    0,    0,9315070,  179,   24,  197,   75,    0,    2,    1,    0,    1,    0,    0,    0,    0,    0
   14,687543,   21,    1,   19,    2,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511556,   73,    4,   86,   38,    0,    1,    0,    1,    0,    0,    0,    0,    0,    0,6115844,  132,   24,  142,   60,    0,    1,    0,    1,    1,    0,    0,    0,    0,    0,9314943,  226,   29,  247,  100,    0,    2,    0,    2,    1,    0,    0,    0,    0,    0
   15,687521,   34,    2,   26,    3,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511501,   91,    7,  107,   51,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,6115755,  157,   29,  181,   80,    0,    1,    0,    0,    1,    0,    0,    0,    0,    0,9314777,  282,   38,  314,  134,    0,    2,    0,    0,    1,    0,    0,    0,    0,    0
   16,687497,   42,    2,   40,    5,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511441,  113,    9,  131,   63,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115644,  200,   38,  217,  103,    0,    2,    1,    0,    2,    0,    0,    0,    0,    0,9314582,  355,   49,  388,  171,    0,    2,    1,    0,    2,    0,    0,    0,    0,    0
   17,687474,   50,    4,   44,   14,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511381,  132,   12,  148,   84,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,6115475,  280,   48,  271,  128,    0,    2,    0,    0,    2,    0,    0,    0,    0,    0,9314330,  462,   64,  463,  226,    0,    2,    0,    0,    2,    0,    0,    0,    0,    0
   18,687443,   55,    7,   64,   17,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511288,  159,   16,  197,   97,    0,    1,    1,    0,    0,    0,    0,    0,    0,    0,6115304,  314,   54,  374,  156,    0,    4,    2,    0,    3,    0,    0,    0,    0,    0,9314035,  528,   77,  635,  270,    0,    5,    3,    0,    3,    0,    0,    0,    0,    0
   19,687410,   64,    8,   78,   26,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511171,  203,   23,  232,  128,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,6115060,  413,   73,  470,  186,    0,    6,    2,    1,    3,    0,    0,    0,    0,    0,9313641,  680,  104,  780,  340,    0,    7,    2,    1,    3,    0,    0,    0,    0,    0
   20,687358,   89,   13,   94,   32,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,2511046,  233,   33,  292,  153,    0,    1,    0,    3,    0,    0,    0,    0,    0,    0,6114740,  543,   87,  585,  247,    0,    7,    1,    2,    2,    0,    0,    0,    0,    0,9313144,  865,  133,  971,  432,    0,    8,    1,    5,    2,    0,    0,    0,    0,    0
   21,687296,  108,   18,  121,   43,    0,    0,    0,    2,    0,    2,    0,    0,    0,    0,2510853,  315,   42,  359,  188,    0,    1,    0,    0,    0,    0,    0,    0,    0,    0,6114385,  640,  100,  762,  315,    0,    9,    2,    2,    3,    4,    0,    0,    0,    2,9312534, 1063,  160, 1242,  546,    0,   10,    2,    4,    3,    6,    0,    0,    0,    2
   22,687209,  151,   21,  150,   55,    0,    0,    0,    0,    0,    2,    0,    0,    0,    0,2510604,  419,   57,  435,  242,    0,    2,    1,    2,    0,    3,    0,    0,    0,    1,6113902,  832,  123,  955,  390,    0,   12,    3,    3,    5,   10,    0,    0,    0,    5,9311715, 1402,  201, 1540,  687,    0,   14,    4,    5,    5,   15,    0,    0,    0,    6
   23,687103,  192,   28,  184,   79,    0,    1,    1,    0,    1,    3,    0,    0,    0,    1,2510354,  481,   72,  545,  305,    0,    3,    1,    1,    0,    5,    0,    0,    0,    2,6113317, 1010,  146, 1194,  535,    0,   17,    5,    6,    6,   21,    0,    0,    0,   10,9310774, 1683,  246, 1923,  919,    0,   21,    7,    7,    7,   29,    0,    0,    0,   13
   24,686978,  225,   36,  248,   99,    0,    1,    0,    1,    1,    4,    0,    0,    0,    1,2509970,  651,   86,  684,  366,    0,    5,    2,    2,    1,    9,    0,    0,    0,    4,6112621, 1263,  177, 1453,  687,    1,   19,    3,    3,    6,   27,    0,    0,    0,   13,9309569, 2139,  299, 2385, 1152,    1,   25,    5,    6,    8,   40,    0,    0,    0,   18
   25,686818,  268,   45,  326,  129,    0,    2,    1,    1,    1,    6,    0,    0,    0,    2,2509539,  786,  113,  876,  443,    0,    6,    2,    3,    2,   14,    0,    0,    0,    6,6111754, 1528,  218, 1821,  880,    1,   22,    3,   10,    7,   40,    0,    0,    0,   16,9308111, 2582,  376, 3023, 1452,    1,   30,    6,   14,   10,   60,    0,    0,    0,   24
   26,686606,  361,   52,  404,  163,    0,    4,    2,    2,    1,   10,    0,    0,    0,    4,2509045,  918,  136, 1103,  555,    0,    9,    3,    2,    3,   19,    0,    0,    0,    9,6110629, 1940,  275, 2248, 1109,    1,   21,    1,    8,    7,   49,    0,    0,    0,   17,9306280, 3219,  463, 3755, 1827,    1,   34,    6,   12,   11,   78,    0,    0,    0,   30
   27,686386,  416,   60,  519,  205,    0,    4,    0,    4,    1,   14,    0,    0,    0,    4,2508439, 1085,  177, 1374,  682,    0,   13,    4,    3,    5,   26,    0,    0,    0,   13,6109414, 2273,  338, 2778, 1398,    1,   25,    6,    7,    8,   62,    0,    0,    0,   23,9304239, 3774,  575, 4671, 2285,    1,   42,   10,   14,   14,  102,    0,    0,    0,   40
   28,686091,  509,   73,  645,  268,    0,    5,    1,    0,    2,   15,    0,    0,    0,    5,2507749, 1287,  217, 1661,  843,    0,   12,    0,    1,    5,   27,    0,    0,    0,   13,6108049, 2615,  429, 3371, 1735,    3,   23,    3,    8,   11,   73,    0,    0,    0,   26,9301889, 4411,  719, 5677, 2846,    3,   40,    4,    9,   18,  115,    0,    0,    0,   44
   29,685778,  592,   99,  766,  351,    0,    7,    2,    0,    2,   17,    0,    0,    0,    7,2506992, 1452,  263, 2020, 1030,    0,   22,   10,    6,   11,   43,    0,    0,    0,   23,6106453, 3011,  533, 4053, 2149,    3,   36,   13,    5,   15,   91,    0,    0,    0,   39,9299223, 5055,  895, 6839, 3530,    3,   65,   25,   11,   28,  151,    0,    0,    0,   69
   30,685447,  648,  132,  917,  441,    1,   10,    4,    4,    3,   25,    0,    0,    0,   11,2506072, 1655,  334, 2396, 1300,    0,   31,    9,    6,   16,   58,    0,    0,    0,   32,6104566, 3489,  659, 4805, 2680,    3,   45,   13,   16,   20,  120,    0,    0,    0,   52,9296085, 5792, 1125, 8118, 4421,    4,   86,   26,   26,   39,  203,    0,    0,    0,   95
