"","FID","HRR_BDRY_I","HRRNUM","HRRCITY","Longitude","Latitude","population"
"1",0,1,1,"AL- BIRMINGHAM",-86.7324326661,33.5107755694,2346128
"2",1,2,2,"AL- DOTHAN",-85.437565059,31.2920376587,381412
"3",2,3,5,"AL- HUNTSVILLE",-86.5721211317,34.7794869185,667134
"4",3,4,6,"AL- MOBILE",-87.9905866067,31.1730162225,874996
"5",4,5,7,"AL- MONTGOMERY",-86.2851719194,32.0872545778,482196
"6",5,6,9,"AL- TUSCALOOSA",-87.7557236589,33.2213163301,274197
"7",6,8,11,"AZ- MESA",-111.358791442,33.0744074856,1609708
"8",7,9,12,"AZ- PHOENIX",-112.074584545,34.5991076061,3773093
"9",8,10,14,"AZ- SUN CITY",-112.801154467,34.010316861,308205
"10",9,11,15,"AZ- TUCSON",-110.49297168,32.2331583403,1283886
"11",10,12,16,"AR- FORT SMITH",-94.4749778831,35.0718746343,383060
"12",11,13,18,"AR- JONESBORO",-90.6398086042,36.0257108757,253734
"13",12,14,19,"AR- LITTLE ROCK",-92.3037668822,34.572710039,1605230
"14",13,15,21,"AR- SPRINGDALE",-93.7266472319,36.1220153924,619744
"15",14,16,22,"AR- TEXARKANA",-94.1354320823,33.7151587557,269290
"16",15,17,23,"CA- ORANGE CO.",-117.67660421,33.667538362,3581089
"17",16,18,25,"CA- BAKERSFIELD",-119.086287952,35.6442511305,1242642
"18",17,19,31,"CA- CHICO",-121.828301232,39.8332369123,312315
"19",18,20,33,"CA- CONTRA COSTA CO.",-121.93260492,38.0522885727,1132428
"20",19,21,43,"CA- FRESNO",-119.81713135,36.6567235006,1316848
"21",20,22,56,"CA- LOS ANGELES",-118.201659632,34.574335336,10352456
"22",21,23,58,"CA- MODESTO",-120.537398157,37.5680015824,948837
"23",22,24,62,"CA- NAPA",-123.195435948,39.3935940447,282803
"24",23,25,65,"CA- ALAMEDA CO.",-121.866916904,37.6362882248,1676191
"25",24,26,69,"CA- PALM SPR/RANCHO MIR.",-116.170621909,34.2222764809,393335
"26",25,27,73,"CA- REDDING",-122.525277458,40.8259401749,356280
"27",26,28,77,"CA- SACRAMENTO",-121.272239713,38.8241743838,2785491
"28",27,29,78,"CA- SALINAS",-121.234412309,36.2425856618,411073
"29",28,30,79,"CA- SAN BERNARDINO",-117.014549505,35.0481220661,3368025
"30",29,31,80,"CA- SAN DIEGO",-116.014456744,33.3199396049,3998298
"31",30,32,81,"CA- SAN FRANCISCO",-122.549090741,38.0159841266,1548449
"32",31,33,82,"CA- SAN JOSE",-121.377315187,36.9001220485,1939541
"33",32,34,83,"CA- SAN LUIS OBISPO",-120.66341923,35.5203187398,267562
"34",33,35,85,"CA- SAN MATEO CO.",-122.319664446,37.4217066498,843882
"35",34,36,86,"CA- SANTA BARBARA",-120.280918869,34.7370212737,472694
"36",35,37,87,"CA- SANTA CRUZ",-121.959962726,37.0180189942,290648
"37",36,38,89,"CA- SANTA ROSA",-122.983701401,38.5704802706,502217
"38",37,39,91,"CA- STOCKTON",-120.965711524,38.0217677126,663711
"39",38,40,96,"CA- VENTURA",-119.016524548,34.2747032912,893359
"40",39,41,101,"CO- BOULDER",-105.334864162,40.1116345903,355694
"41",40,42,102,"CO- COLORADO SPRINGS",-104.412768955,38.0676941696,927619
"42",41,43,103,"CO- DENVER",-103.94513141,40.6399874834,3247370
"43",42,44,104,"CO- FORT COLLINS",-105.463942449,41.2693512066,382017
"44",43,45,105,"CO- GRAND JUNCTION",-108.059728128,38.9595689048,369199
"45",44,46,106,"CO- GREELEY",-103.38390666,40.3576654015,412623
"46",45,47,107,"CO- PUEBLO",-104.576428408,37.8972452738,183387
"47",46,48,109,"CT- BRIDGEPORT",-73.3920531883,41.1757329839,713393
"48",47,49,110,"CT- HARTFORD",-72.6649402984,41.7780095943,1520755
"49",48,50,111,"CT- NEW HAVEN",-73.0333084675,41.4521735672,1500860
"50",49,51,112,"DE- WILMINGTON",-75.6367755735,39.4450011418,845783
"51",50,52,113,"DC- WASHINGTON",-77.6050321109,39.1691002598,2855416
"52",51,53,115,"FL- BRADENTON",-82.2987581577,27.4690430843,351831
"53",52,54,116,"FL- CLEARWATER",-82.7432200512,28.0140728261,530078
"54",53,55,118,"FL- FORT LAUDERDALE",-80.3566754699,26.8150992616,3037413
"55",54,56,119,"FL- FORT MYERS",-81.4535796567,26.4737498198,1351537
"56",55,57,120,"FL- GAINESVILLE",-82.5974745944,29.8150847525,601775
"57",56,58,122,"FL- HUDSON",-82.5039652698,28.4776791445,449623
"58",57,59,123,"FL- JACKSONVILLE",-82.0823040275,30.8606279388,1819563
"59",58,60,124,"FL- LAKELAND",-81.9235331982,27.9564252382,425812
"60",59,61,127,"FL- MIAMI",-80.3464104658,25.7432903707,3482351
"61",60,62,129,"FL- OCALA",-82.2803855368,29.1173746268,556054
"62",61,63,130,"FL- ORLANDO",-81.2741143572,28.0966001411,4135571
"63",62,64,131,"FL- ORMOND BEACH",-81.1721677852,29.2551188343,423094
"64",63,65,133,"FL- PANAMA CITY",-85.4012657532,30.2172814857,227454
"65",64,66,134,"FL- PENSACOLA",-86.7724433081,30.8724572918,838509
"66",65,67,137,"FL- SARASOTA",-82.0307723519,27.2055952901,449109
"67",66,68,139,"FL- ST PETERSBURG",-82.6890954823,27.8058098387,437843
"68",67,69,140,"FL- TALLAHASSEE",-83.9127871875,30.6758736376,862461
"69",68,70,141,"FL- TAMPA",-82.3298094627,28.0638346329,1594718
"70",69,71,142,"GA- ALBANY",-84.2411477658,31.6478023187,211470
"71",70,72,144,"GA- ATLANTA",-84.0956637796,34.0184409352,6905782
"72",71,73,145,"GA- AUGUSTA",-82.1757532598,33.2739905221,724750
"73",72,74,146,"GA- COLUMBUS",-84.8101040323,32.3190049452,369315
"74",73,75,147,"GA- MACON",-83.4502793891,32.5204667813,753770
"75",74,76,148,"GA- ROME",-85.264499972,34.2264763479,302759
"76",75,77,149,"GA- SAVANNAH",-81.6991577318,32.1563269996,950680
"77",76,79,151,"ID- BOISE",-116.135967294,43.4006635152,1007946
"78",77,80,152,"ID- IDAHO FALLS",-112.331381192,43.7885702108,260001
"79",78,81,154,"IL- AURORA",-88.5141476027,41.6715314758,343145
"80",79,82,155,"IL- BLUE ISLAND",-87.6941928037,41.545616943,861216
"81",80,83,156,"IL- CHICAGO",-87.583730249,41.901814397,2650047
"82",81,84,158,"IL- ELGIN",-88.292059196,42.1813705673,826619
"83",82,85,161,"IL- EVANSTON",-87.8825729459,42.1109036423,924712
"84",83,86,163,"IL- HINSDALE",-88.0867256872,41.7465221587,518208
"85",84,87,164,"IL- JOLIET",-88.0449481638,41.255553629,701771
"86",85,88,166,"IL- MELROSE PARK",-88.1116033375,41.888003216,1361619
"87",86,89,170,"IL- PEORIA",-89.6662597627,40.8999755562,604399
"88",87,90,171,"IL- ROCKFORD",-89.3350597155,41.9593731509,722743
"89",88,91,172,"IL- SPRINGFIELD",-89.9103494386,39.7095891168,817958
"90",89,92,173,"IL- URBANA",-88.0307631831,40.0865210079,460566
"91",90,93,175,"IL- BLOOMINGTON",-88.7589777195,40.6428295059,207861
"92",91,94,179,"IN- EVANSVILLE",-87.700381567,38.2326883852,692175
"93",92,95,180,"IN- FORT WAYNE",-85.0847863317,41.1300621515,887304
"94",93,96,181,"IN- GARY",-87.0587653232,41.3815262218,522100
"95",94,97,183,"IN- INDIANAPOLIS",-86.1526848489,39.7831508621,3024701
"96",95,98,184,"IN- LAFAYETTE",-87.0879086335,40.5852049051,259483
"97",96,99,185,"IN- MUNCIE",-85.2163394186,40.2526987103,161531
"98",97,100,186,"IN- MUNSTER",-87.4889799646,41.560677033,314872
"99",98,101,187,"IN- SOUTH BEND",-86.2046842792,41.5112933489,733720
"100",99,102,188,"IN- TERRE HAUTE",-87.4052664803,39.4293993739,180567
"101",100,103,190,"IA- CEDAR RAPIDS",-91.6311840421,42.1788104455,319108
"102",101,104,191,"IA- DAVENPORT",-90.6572163681,41.467401523,498984
"103",102,105,192,"IA- DES MOINES",-93.7070595,41.591177892,1196627
"104",103,106,193,"IA- DUBUQUE",-90.7238274021,42.5048883528,164311
"105",104,107,194,"IA- IOWA CITY",-91.7353481476,41.1505199098,362999
"106",105,108,195,"IA- MASON CITY",-93.5621672913,43.0837845226,130742
"107",106,109,196,"IA- SIOUX CITY",-96.0449462673,42.5890859968,269356
"108",107,110,197,"IA- WATERLOO",-92.3736342371,42.5513405851,219626
"109",108,111,200,"KS- TOPEKA",-96.2062011048,39.0529676532,467160
"110",109,112,201,"KS- WICHITA",-98.9584070958,38.2491739119,1298112
"111",110,113,203,"KY- COVINGTON",-84.5333494747,38.8095321661,445412
"112",111,114,204,"KY- LEXINGTON",-83.8690406086,37.6303929123,1589486
"113",112,115,205,"KY- LOUISVILLE",-85.7081399895,37.82276246,1840715
"114",113,116,207,"KY- OWENSBORO",-86.9707751157,37.6336150091,151924
"115",114,117,208,"KY- PADUCAH",-88.3558116031,37.046595849,372668
"116",115,118,209,"LA- ALEXANDRIA",-92.3671010409,31.3341050535,299257
"117",116,119,210,"LA- BATON ROUGE",-91.0430543365,30.6829416896,1019776
"118",117,120,212,"LA- HOUMA",-90.7817144223,29.5699577518,285593
"119",118,121,213,"LA- LAFAYETTE",-92.0989980181,30.1689114387,669091
"120",119,122,214,"LA- LAKE CHARLES",-93.2423497868,30.308946435,290705
"121",120,123,216,"LA- METAIRIE",-90.1598682331,30.5571860587,486773
"122",121,124,217,"LA- MONROE",-91.8257154323,32.4972517593,280523
"123",122,125,218,"LA- NEW ORLEANS",-89.8262161127,29.7332051595,718269
"124",123,126,219,"LA- SHREVEPORT",-93.3629860497,32.2792995572,717059
