Date,hospitalizations
4/11/2020,1019
4/12/2020,1071
4/13/2020,1079
4/14/2020,1156
4/15/2020,1219
4/16/2020,1201
4/17/2020,1288
4/18/2020,1289
4/19/2020,1340
4/20/2020,1433
4/21/2020,1432
4/22/2020,1405
4/23/2020,1425
4/24/2020,1408
4/25/2020,1463
4/26/2020,1512
4/27/2020,1528
4/28/2020,1613
4/29/2020,1685
4/30/2020,1668
5/1/2020,1657
5/2/2020,1635
5/3/2020,1649
5/4/2020,1693
5/5/2020,1707
5/6/2020,1683
5/7/2020,1674
5/8/2020,1665
5/9/2020,1640
5/10/2020,1544
5/11/2020,1545
5/12/2020,1549
5/13/2020,1537
5/14/2020,1495
5/15/2020,1485
5/16/2020,1449
5/17/2020,1447
5/18/2020,1421
5/19/2020,1410
5/20/2020,1374
5/21/2020,1329
5/22/2020,1320
5/23/2020,1290
5/24/2020,1279
5/25/2020,1315
5/26/2020,1338
5/27/2020,1334
5/28/2020,1296
5/29/2020,1239
5/30/2020,1183
5/31/2020,1174
6/1/2020,1148
6/2/2020,1113
6/3/2020,1096
6/4/2020,1076
6/5/2020,1059
6/6/2020,1009
6/7/2020,991
6/8/2020,970
6/9/2020,959
6/10/2020,902
6/11/2020,836
6/12/2020,799
6/13/2020,762
6/14/2020,748
6/15/2020,742
6/16/2020,702
