Date,hospitalizations
10/25/2020,456
10/26/2020,471
10/27/2020,501
10/28/2020,502
10/29/2020,513
10/30/2020,520
10/31/2020,523
11/1/2020,529
11/2/2020,562
11/3/2020,595
11/4/2020,588
11/5/2020,609
11/6/2020,632
11/7/2020,655
11/8/2020,707
11/9/2020,761
11/10/2020,805
11/11/2020,863
11/12/2020,914
11/13/2020,921
11/14/2020,938
11/15/2020,985
11/16/2020,1046
11/17/2020,1144
11/18/2020,1192
11/19/2020,1207
11/20/2020,1229
11/21/2020,1237
11/22/2020,1276
11/23/2020,1341
11/24/2020,1406
11/25/2020,1453
11/26/2020,1435
11/27/2020,1446
11/28/2020,1461
11/29/2020,1527
11/30/2020,1583
12/1/2020,1578
12/2/2020,1573
12/3/2020,1594
12/4/2020,1598
12/5/2020,1576
12/6/2020,1561
12/7/2020,1653
12/8/2020,1715
12/9/2020,1720
12/10/2020,1729
12/11/2020,1719
12/12/2020,1679
12/13/2020,1742
12/14/2020,1799
12/15/2020,1762
12/16/2020,1702
12/17/2020,1686
12/18/2020,1635
12/19/2020,1662
12/20/2020,1676
12/21/2020,1717
12/22/2020,1776
12/23/2020,1760
12/24/2020,1721
12/25/2020,1685
12/26/2020,1692
12/27/2020,1738
12/28/2020,1725
12/29/2020,1756
12/30/2020,1773
12/31/2020,1734
1/1/2021,1692
1/2/2021,1709
1/3/2021,1751
1/4/2021,1771
1/5/2021,1862
1/6/2021,1834
1/7/2021,1885
1/8/2021,1877
1/9/2021,1895
1/10/2021,1940
1/11/2021,1952
1/12/2021,1929
1/13/2021,1893
