Date,hospitalizations
2020-08-01,553
2020-08-02,548
2020-08-03,547
2020-08-04,555
2020-08-05,535
2020-08-06,528
2020-08-07,515
2020-08-08,525
2020-08-09,534
2020-08-10,529
2020-08-11,488
2020-08-12,470
2020-08-13,457
2020-08-14,460
2020-08-15,475
2020-08-16,435
2020-08-17,453
2020-08-18,475
2020-08-19,455
2020-08-20,455
2020-08-21,441
2020-08-22,407
2020-08-23,407
2020-08-24,411
2020-08-25,432
2020-08-26,412
2020-08-27,412
2020-08-28,387
2020-08-29,358
2020-08-30,377
2020-08-31,385
2020-09-01,370
2020-09-02,382
2020-09-03,395
2020-09-04,353
2020-09-05,341
2020-09-06,362
2020-09-07,365
2020-09-08,370
2020-09-09,358
2020-09-10,369
2020-09-11,361
2020-09-12,351
2020-09-13,347
2020-09-14,371
2020-09-15,347
2020-09-16,353
2020-09-17,347
2020-09-18,324
2020-09-19,281
2020-09-20,290
2020-09-21,309
2020-09-22,332
2020-09-23,349
2020-09-24,344
2020-09-25,347
2020-09-26,328
2020-09-27,315
2020-09-28,344
2020-09-29,334
2020-09-30,331
2020-10-01,323
2020-10-02,323
2020-10-03,320
2020-10-04,338
2020-10-05,360
2020-10-06,391
2020-10-07,403
2020-10-08,391
2020-10-09,383
2020-10-10,393
2020-10-11,384
2020-10-12,402
2020-10-13,417
2020-10-14,412
2020-10-15,416
2020-10-16,422
2020-10-17,433
2020-10-18,434
2020-10-19,464
2020-10-20,463
2020-10-21,458
2020-10-22,458
2020-10-23,455
2020-10-24,446
2020-10-25,456
2020-10-26,471
2020-10-27,501
2020-10-28,502
2020-10-29,513
2020-10-30,520
2020-10-31,523
2020-11-01,529
2020-11-02,562
2020-11-03,595
2020-11-04,588
2020-11-05,609
2020-11-06,632
2020-11-07,655
2020-11-08,707
2020-11-09,761
2020-11-10,805
2020-11-11,863
2020-11-12,914
2020-11-13,921
2020-11-14,938
2020-11-15,985
2020-11-16,1046
2020-11-17,1144
2020-11-18,1192
2020-11-19,1207
2020-11-20,1229
2020-11-21,1237
2020-11-22,1276
2020-11-23,1341
2020-11-24,1406
2020-11-25,1453
2020-11-26,1435
2020-11-27,1446
2020-11-28,1461
2020-11-29,1527
2020-11-30,1583
2020-12-01,1578
2020-12-02,1573
2020-12-03,1594
2020-12-04,1598
2020-12-05,1576
2020-12-06,1561
2020-12-07,1653
